cell_type;file_name;x;y;row_index
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;1;7;0
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;1;8;1
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;1;9;2
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;1;10;3
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;1;11;4
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;1;12;5
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;1;13;6
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;1;14;7
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;1;15;8
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;1;16;9
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;1;17;10
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;1;18;11
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;1;19;12
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;1;20;13
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;2;6;14
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;2;7;15
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;2;9;16
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;2;10;17
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;2;11;18
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;2;12;19
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;2;13;20
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;2;14;21
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;2;16;22
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;2;17;23
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;2;18;24
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;2;20;25
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;2;22;26
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;2;23;27
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;2;24;28
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;3;2;29
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;3;4;30
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;3;5;31
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;3;6;32
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;3;8;33
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;3;9;34
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;3;10;35
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;3;11;36
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;3;12;37
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;3;13;38
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;3;14;39
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;3;15;40
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;3;16;41
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;3;17;42
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;3;19;43
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;3;20;44
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;3;21;45
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;4;1;46
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;4;2;47
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;4;3;48
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;4;4;49
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;4;7;50
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;4;8;51
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;4;9;52
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;4;10;53
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;4;11;54
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;4;12;55
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;4;13;56
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;4;14;57
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;4;15;58
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;4;16;59
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;4;17;60
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;4;18;61
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;4;19;62
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;4;20;63
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;4;21;64
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;4;22;65
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;4;23;66
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;4;47;67
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;4;48;68
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;4;49;69
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;5;2;70
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;5;3;71
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;5;5;72
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;5;6;73
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;5;7;74
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;5;8;75
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;5;9;76
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;5;10;77
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;5;11;78
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;5;12;79
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;5;13;80
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;5;14;81
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;5;15;82
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;5;16;83
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;5;17;84
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;5;18;85
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;5;19;86
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;5;20;87
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;5;21;88
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;5;22;89
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;5;23;90
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;5;45;91
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;5;46;92
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;5;48;93
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;5;49;94
Astro_Positivo;Astro_15_16_pos_20150506_cultivocorte_1_pos.imzML;5;50;95
