cell_type;file_name;x;y;row_index
Microglia_Positivo;Microglia_13_14_15_16__17_pos_20160218_IMS96_2D_pos.imzML;5;8;0
Microglia_Positivo;Microglia_13_14_15_16__17_pos_20160218_IMS96_2D_pos.imzML;5;9;1
Microglia_Positivo;Microglia_13_14_15_16__17_pos_20160218_IMS96_2D_pos.imzML;5;10;2
Microglia_Positivo;Microglia_13_14_15_16__17_pos_20160218_IMS96_2D_pos.imzML;5;11;3
Microglia_Positivo;Microglia_13_14_15_16__17_pos_20160218_IMS96_2D_pos.imzML;6;7;4
Microglia_Positivo;Microglia_13_14_15_16__17_pos_20160218_IMS96_2D_pos.imzML;6;8;5
Microglia_Positivo;Microglia_13_14_15_16__17_pos_20160218_IMS96_2D_pos.imzML;6;9;6
Microglia_Positivo;Microglia_13_14_15_16__17_pos_20160218_IMS96_2D_pos.imzML;6;10;7
Microglia_Positivo;Microglia_13_14_15_16__17_pos_20160218_IMS96_2D_pos.imzML;6;11;8
Microglia_Positivo;Microglia_13_14_15_16__17_pos_20160218_IMS96_2D_pos.imzML;6;12;9
Microglia_Positivo;Microglia_13_14_15_16__17_pos_20160218_IMS96_2D_pos.imzML;6;13;10
Microglia_Positivo;Microglia_13_14_15_16__17_pos_20160218_IMS96_2D_pos.imzML;6;14;11
Microglia_Positivo;Microglia_13_14_15_16__17_pos_20160218_IMS96_2D_pos.imzML;6;15;12
Microglia_Positivo;Microglia_13_14_15_16__17_pos_20160218_IMS96_2D_pos.imzML;7;6;13
Microglia_Positivo;Microglia_13_14_15_16__17_pos_20160218_IMS96_2D_pos.imzML;7;7;14
Microglia_Positivo;Microglia_13_14_15_16__17_pos_20160218_IMS96_2D_pos.imzML;7;8;15
Microglia_Positivo;Microglia_13_14_15_16__17_pos_20160218_IMS96_2D_pos.imzML;7;9;16
Microglia_Positivo;Microglia_13_14_15_16__17_pos_20160218_IMS96_2D_pos.imzML;7;10;17
Microglia_Positivo;Microglia_13_14_15_16__17_pos_20160218_IMS96_2D_pos.imzML;7;11;18
Microglia_Positivo;Microglia_13_14_15_16__17_pos_20160218_IMS96_2D_pos.imzML;7;12;19
Microglia_Positivo;Microglia_13_14_15_16__17_pos_20160218_IMS96_2D_pos.imzML;7;13;20
Microglia_Positivo;Microglia_13_14_15_16__17_pos_20160218_IMS96_2D_pos.imzML;7;14;21
Microglia_Positivo;Microglia_13_14_15_16__17_pos_20160218_IMS96_2D_pos.imzML;7;15;22
