cell_type;file_name;x;y;row_index
Neuron_Positivo;Neuron_13_14_15_pos_20150604_rataneu_pos.imzML;2;10;0
Neuron_Positivo;Neuron_13_14_15_pos_20150604_rataneu_pos.imzML;2;12;1
Neuron_Positivo;Neuron_13_14_15_pos_20150604_rataneu_pos.imzML;2;14;2
Neuron_Positivo;Neuron_13_14_15_pos_20150604_rataneu_pos.imzML;2;15;3
Neuron_Positivo;Neuron_13_14_15_pos_20150604_rataneu_pos.imzML;3;6;4
Neuron_Positivo;Neuron_13_14_15_pos_20150604_rataneu_pos.imzML;3;7;5
Neuron_Positivo;Neuron_13_14_15_pos_20150604_rataneu_pos.imzML;3;8;6
Neuron_Positivo;Neuron_13_14_15_pos_20150604_rataneu_pos.imzML;3;9;7
Neuron_Positivo;Neuron_13_14_15_pos_20150604_rataneu_pos.imzML;3;10;8
Neuron_Positivo;Neuron_13_14_15_pos_20150604_rataneu_pos.imzML;3;11;9
Neuron_Positivo;Neuron_13_14_15_pos_20150604_rataneu_pos.imzML;3;13;10
Neuron_Positivo;Neuron_13_14_15_pos_20150604_rataneu_pos.imzML;3;15;11
Neuron_Positivo;Neuron_13_14_15_pos_20150604_rataneu_pos.imzML;3;16;12
Neuron_Positivo;Neuron_13_14_15_pos_20150604_rataneu_pos.imzML;4;6;13
Neuron_Positivo;Neuron_13_14_15_pos_20150604_rataneu_pos.imzML;4;7;14
Neuron_Positivo;Neuron_13_14_15_pos_20150604_rataneu_pos.imzML;4;8;15
Neuron_Positivo;Neuron_13_14_15_pos_20150604_rataneu_pos.imzML;4;11;16
Neuron_Positivo;Neuron_13_14_15_pos_20150604_rataneu_pos.imzML;4;12;17
Neuron_Positivo;Neuron_13_14_15_pos_20150604_rataneu_pos.imzML;4;13;18
Neuron_Positivo;Neuron_13_14_15_pos_20150604_rataneu_pos.imzML;4;14;19
Neuron_Positivo;Neuron_13_14_15_pos_20150604_rataneu_pos.imzML;4;15;20
Neuron_Positivo;Neuron_13_14_15_pos_20150604_rataneu_pos.imzML;4;17;21
Neuron_Positivo;Neuron_13_14_15_pos_20150604_rataneu_pos.imzML;4;18;22
Neuron_Positivo;Neuron_13_14_15_pos_20150604_rataneu_pos.imzML;5;6;23
Neuron_Positivo;Neuron_13_14_15_pos_20150604_rataneu_pos.imzML;5;7;24
Neuron_Positivo;Neuron_13_14_15_pos_20150604_rataneu_pos.imzML;5;8;25
Neuron_Positivo;Neuron_13_14_15_pos_20150604_rataneu_pos.imzML;5;9;26
Neuron_Positivo;Neuron_13_14_15_pos_20150604_rataneu_pos.imzML;5;10;27
Neuron_Positivo;Neuron_13_14_15_pos_20150604_rataneu_pos.imzML;5;11;28
Neuron_Positivo;Neuron_13_14_15_pos_20150604_rataneu_pos.imzML;5;12;29
Neuron_Positivo;Neuron_13_14_15_pos_20150604_rataneu_pos.imzML;5;14;30
Neuron_Positivo;Neuron_13_14_15_pos_20150604_rataneu_pos.imzML;5;15;31
Neuron_Positivo;Neuron_13_14_15_pos_20150604_rataneu_pos.imzML;5;16;32
Neuron_Positivo;Neuron_13_14_15_pos_20150604_rataneu_pos.imzML;5;19;33
Neuron_Positivo;Neuron_13_14_15_pos_20150604_rataneu_pos.imzML;6;4;34
Neuron_Positivo;Neuron_13_14_15_pos_20150604_rataneu_pos.imzML;6;7;35
