cell_type;file_name;x;y;row_index
Oligo_Positivo;Oligo_11_12_13_14_pos_20151211_IMS95_2_pos.imzML;30;2;0
Oligo_Positivo;Oligo_11_12_13_14_pos_20151211_IMS95_2_pos.imzML;30;3;1
Oligo_Positivo;Oligo_11_12_13_14_pos_20151211_IMS95_2_pos.imzML;30;4;2
Oligo_Positivo;Oligo_11_12_13_14_pos_20151211_IMS95_2_pos.imzML;31;2;3
Oligo_Positivo;Oligo_11_12_13_14_pos_20151211_IMS95_2_pos.imzML;31;4;4
Oligo_Positivo;Oligo_11_12_13_14_pos_20151211_IMS95_2_pos.imzML;31;5;5
Oligo_Positivo;Oligo_11_12_13_14_pos_20151211_IMS95_2_pos.imzML;32;1;6
Oligo_Positivo;Oligo_11_12_13_14_pos_20151211_IMS95_2_pos.imzML;32;2;7
Oligo_Positivo;Oligo_11_12_13_14_pos_20151211_IMS95_2_pos.imzML;32;3;8
Oligo_Positivo;Oligo_11_12_13_14_pos_20151211_IMS95_2_pos.imzML;33;1;9
Oligo_Positivo;Oligo_11_12_13_14_pos_20151211_IMS95_2_pos.imzML;34;1;10
Oligo_Positivo;Oligo_11_12_13_14_pos_20151211_IMS95_2_pos.imzML;34;2;11
Oligo_Positivo;Oligo_11_12_13_14_pos_20151211_IMS95_2_pos.imzML;34;3;12
Oligo_Positivo;Oligo_11_12_13_14_pos_20151211_IMS95_2_pos.imzML;35;2;13
Oligo_Positivo;Oligo_11_12_13_14_pos_20151211_IMS95_2_pos.imzML;35;3;14
Oligo_Positivo;Oligo_11_12_13_14_pos_20151211_IMS95_2_pos.imzML;35;4;15
Oligo_Positivo;Oligo_11_12_13_14_pos_20151211_IMS95_2_pos.imzML;36;2;16
Oligo_Positivo;Oligo_11_12_13_14_pos_20151211_IMS95_2_pos.imzML;36;3;17
Oligo_Positivo;Oligo_11_12_13_14_pos_20151211_IMS95_2_pos.imzML;36;4;18
Oligo_Positivo;Oligo_11_12_13_14_pos_20151211_IMS95_2_pos.imzML;37;2;19
Oligo_Positivo;Oligo_11_12_13_14_pos_20151211_IMS95_2_pos.imzML;37;3;20
Oligo_Positivo;Oligo_11_12_13_14_pos_20151211_IMS95_2_pos.imzML;37;4;21
Oligo_Positivo;Oligo_11_12_13_14_pos_20151211_IMS95_2_pos.imzML;38;1;22
